Ano,Dia Juliano,Hora,Temp. Interna (ºC),Pressão Atmosfé-rica    (hPa),Temp. do Ar 2m     (ºC),Umidade Relativa do Ar 2m (%),Temp. Máxima do Ar  2m (ºC),Temp. Mínima do Ar  2m (ºC),Velocidade do Vento 10m      (m/s),Direção do Vento 10m (graus),Velocidade do Vento Máxima (m/s)       ,Direção da Velocidade do  Vento Máxima (graus),Precipitação Pluviométrica (mm),Radiação Solar Total (kJ/m2),Nivel de água    (m),Temp. do  Solo 10cm (ºC),Temp. do Solo 20 cm (ºC),Temp. do Solo 50 cm (ºC),Umidade do Solo (%),Fluxo de calor no Solo (kJ/m2),Bateria (volts),Corrente do Painel Solar  (mA),Código II,,,,,,,,,,,,,
2013,95,400,23.63,1007.7,24.41,95.7,24.91,24.34,2.074,183.9,5.31,98.1,0.4,0.20703,0,-6999,-6999,-6999,-6999,-6999,-0.006,-100.9,201,,,,,,,,,,,,,
2013,95,500,23.5,1007.9,24.74,97,24.75,24.42,1.279,257.4,2.241,244.4,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.006,-102.4,201,,,,,,,,,,,,,
2013,95,600,23.7,1008.7,24.85,98.5,24.85,24.56,1.086,263,2.362,26.25,1,18.633,0,-6999,-6999,-6999,-6999,-6999,-0.006,-79.2,201,,,,,,,,,,,,,
2013,95,700,25.91,1009.5,26.46,93.5,26.46,24.81,0.878,297.7,1.858,229.2,0,539.65,0,-6999,-6999,-6999,-6999,-6999,-0.003,6.242,201,,,,,,,,,,,,,
2013,95,800,29.53,1010.3,27.06,86.4,27.78,26.43,1.515,198.2,4.143,128.6,0,914.29,0,-6999,-6999,-6999,-6999,-6999,-0.003,96.7,201,,,,,,,,,,,,,
2013,95,900,34.69,1010.7,29.03,78.9,29.56,27.12,1.66,171.5,3.459,195.6,0,2078.7,0,-6999,-6999,-6999,-6999,-6999,-0.003,96.1,201,,,,,,,,,,,,,
2013,95,1000,33.96,1010.6,30.41,76.4,30.41,27.93,2.237,175.8,3.73,183.1,0.2,1764.7,0,-6999,-6999,-6999,-6999,-6999,-0.003,-1.477,201,,,,,,,,,,,,,
2013,95,1100,33.56,1009.9,30.4,74.3,31.16,28.5,3.34,127.3,6.401,87.6,0.2,2287.2,0,-6999,-6999,-6999,-6999,-6999,-0.003,143.9,201,,,,,,,,,,,,,
2013,95,1200,34.62,1009.1,30.44,69.73,31.82,30.37,4.123,113.8,5.701,97.1,0,2181.1,0,-6999,-6999,-6999,-6999,-6999,-0.003,-40.37,201,,,,,,,,,,,,,
2013,95,1300,35.64,1008.1,31.27,63.84,31.65,30.38,4.391,102.3,6.072,111.4,0,2199.2,0,-6999,-6999,-6999,-6999,-6999,-0.003,58.59,201,,,,,,,,,,,,,
2013,95,1400,36.73,1007.3,31.27,65.89,31.92,30.78,5.056,115.1,6.383,113.7,0,2478.3,0,-6999,-6999,-6999,-6999,-6999,-0.006,-11.73,201,,,,,,,,,,,,,
2013,95,1500,38.42,1007,30.91,68.38,31.68,30.8,4.894,102.8,6.368,87.8,0,2289.3,0,-6999,-6999,-6999,-6999,-6999,-0.003,-22.89,201,,,,,,,,,,,,,
2013,95,1600,37.01,1006.9,30.44,72.6,30.94,30.25,4.943,99.5,6.852,87,0,1362.9,0,-6999,-6999,-6999,-6999,-6999,-0.003,-87.5,201,,,,,,,,,,,,,
2013,95,1700,32.91,1007.4,29.02,79.6,30.5,29.02,4.608,93,5.628,101.2,0,473.38,0,-6999,-6999,-6999,-6999,-6999,-0.003,-75.4,201,,,,,,,,,,,,,
2013,95,1800,29.09,1008,28.01,85.1,28.96,27.91,3.429,80,5.203,88.2,0,53.294,0,-6999,-6999,-6999,-6999,-6999,-0.003,-98.6,201,,,,,,,,,,,,,
2013,95,1900,27.7,1008.6,28.13,83.1,28.24,27.87,2.544,67.53,3.888,90.4,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-106.1,201,,,,,,,,,,,,,
2013,95,2000,27.31,1009.1,28.16,82.2,28.23,28.05,2.422,86.8,3.116,92.6,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-99.9,201,,,,,,,,,,,,,
2013,95,2100,27.03,1009.6,27.81,84.1,28.24,27.81,2.11,62.42,3.163,94.2,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-97.7,201,,,,,,,,,,,,,
2013,95,2200,26.37,1010,27.54,85.1,27.94,27.52,1.586,43.77,2.891,42.83,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-96.7,201,,,,,,,,,,,,,
2013,95,2300,25.85,1009.5,26.67,91.6,27.63,26.46,0.416,79.1,1.502,32.91,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.006,-98.6,201,,,,,,,,,,,,,
2013,95,2400,25.01,1008.7,26.35,92.7,26.7,26.06,0.391,112.1,0.891,97.5,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.003,-96.1,201,,,,,,,,,,,,,
2013,96,100,24.78,1008.2,26.12,95.2,26.33,25.93,0.907,235.3,1.407,234,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.006,-97.3,201,,,,,,,,,,,,,
2013,96,200,24.77,1007.9,26.09,95.3,26.29,26.01,0.666,220.2,1.335,228.3,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.006,-100.8,201,,,,,,,,,,,,,
2013,96,300,24.73,1007.9,26.22,94.4,26.26,25.91,0.808,238.6,1.32,258.3,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.006,-98.6,201,,,,,,,,,,,,,
2013,96,400,24.88,1008.2,26.28,95.3,26.28,26.08,0.953,212.4,1.33,229.6,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.006,-100.9,201,,,,,,,,,,,,,
2013,96,500,25.13,1008.7,26.37,94,26.52,26.16,0.705,178.9,2.374,130.5,0,0,0,-6999,-6999,-6999,-6999,-6999,-0.006,-97.9,201,,,,,,,,,,,,,
